Word	UF	SF	Freq
hiiriin	hiiriin	hiiriin	9
kaakkoisrajan	kɑɑkkoisrɑjɑn	kɑɑkkoisrɑjɑn	9
kaksinaisen	kɑksinɑisen	kɑksinɑisen	9
karkottavan	kɑrkottɑvAn	kɑrkottɑvɑn	9
kestosuosikit	kestosuosikit	kestosuosikit	9
kuluttajaliitosta	kuluttAjAliitostA	kuluttɑjɑliitostɑ	9
laskijoiden	lɑskijOiden	lɑskijoiden	9
lattiakaivo	lɑttiɑkɑivo	lɑttiɑkɑivo	9
mäkikotkat	mækikotkɑt	mækikotkɑt	9
opiskelutapojen	opiskelUtɑpojen	opiskelutɑpojen	9
puimuria	puimuriA	puimuriɑ	9
päivätyökeräyksen	pæivætyøkeræUksen	pæivætyøkeræyksen	9
päällekkäisiltä	pæællekkæisiltA	pæællekkæisiltæ	9
ruohosipulilla	ruohosipulillA	ruohosipulillɑ	9
sulkijan	sulkijAn	sulkijɑn	9
talouskomissiossa	tɑlouskomissiossA	tɑlouskomissiossɑ	9
taustatietona	tɑustAtietonA	tɑustɑtietonɑ	9
tupsahtanut	tupsɑhtɑnUt	tupsɑhtɑnut	9
työmääränsä	tyømæærænsA	tyømæærænsæ	9
urissa	urissA	urissɑ	9
vinoutumista	vinoutUmistA	vinoutumistɑ	9
ylistalo	ylistɑlo	ylistɑlo	9
elbe	elbe	elbe	8
galluppien	gɑlluppien	gɑlluppien	8
hankintatukku	hɑnkintAtukku	hɑnkintɑtukku	8
haurastumiseen	hɑurɑstumiseen	hɑurɑstumiseen	8
katetuotto	kɑtetuotto	kɑtetuotto	8
kehnoimmin	kehnoimmin	kehnoimmin	8
kielelliselle	kielelliselle	kielelliselle	8
kipeimmät	kipeimmAt	kipeimmæt	8
kokeiltavissa	kokeiltAvissA	kokeiltɑvissɑ	8
kosketat	kosketɑt	kosketɑt	8
kotiradan	kotirɑdɑn	kotirɑdɑn	8
laivaväylät	lɑivɑvæylæt	lɑivɑvæylæt	8
letkautus	letkɑutUs	letkɑutus	8
mitalitoivo	mitɑlitoivo	mitɑlitoivo	8
niskavillat	niskɑvillɑt	niskɑvillɑt	8
pakkassää	pɑkkɑssææ	pɑkkɑssææ	8
perheneuvonnassa	perheneuvonnɑssA	perheneuvonnɑssɑ	8
pikkuseikkoja	pikkuseikkojA	pikkuseikkojɑ	8
presidenteille	presidenteille	presidenteille	8
projektiavustusta	projektiɑvustUstA	projektiɑvustustɑ	8
puutuoteteollisuus	puutuoteteollisUUs	puutuoteteollisuus	8
päiväkirjamerkintöjen	pæivækirjɑmerkintOjen	pæivækirjɑmerkintøjen	8
pälkähti	pælkæhti	pælkæhti	8
rankkareilla	rɑnkkɑreillA	rɑnkkɑreillɑ	8
salamointia	sɑlɑmointiA	sɑlɑmointiɑ	8
sukupuolivalistus	sukupuolivɑlistUs	sukupuolivɑlistus	8
suolattuna	suolɑttUnA	suolɑttunɑ	8
tarinailta	tɑrinɑiltɑ	tɑrinɑiltɑ	8
tomaattisosetta	tomɑɑttisosettA	tomɑɑttisosettɑ	8
tourula	tourulɑ	tourulɑ	8
tuontioluiden	tuontioluiden	tuontioluiden	8
vaalikierroksella	vɑɑlikierroksellA	vɑɑlikierroksellɑ	8
voimaantuleva	voimɑɑntulevA	voimɑɑntulevɑ	8
öljytankkerin	øljytɑnkkerin	øljytɑnkkerin	8
anttilainen	ɑnttilɑinen	ɑnttilɑinen	7
avustajakoiran	ɑvustɑjAkoirɑn	ɑvustɑjɑkoirɑn	7
britannialaisten	britɑnniɑlAisten	britɑnniɑlɑisten	7
diplomaattiseksi	diplomɑɑttiseksi	diplomɑɑttiseksi	7
hameisiin	hɑmeisiin	hɑmeisiin	7
heinäpään	heinApææn	heinæpææn	7
hellepäivä	hellepæivæ	hellepæivæ	7
hosumista	hosumistA	hosumistɑ	7
imusta	imustA	imustɑ	7
juhanille	juhɑnille	juhɑnille	7
julkaisuiksi	julkɑisUiksi	julkɑisuiksi	7
jäädytettäisiin	jæædytettAisiin	jæædytettæisiin	7
jäätyisi	jæætyisi	jæætyisi	7
kanssakilpailijoiden	kɑnssɑkilpɑilijOiden	kɑnssɑkilpɑilijoiden	7
kasinopelurit	kɑsinopelurit	kɑsinopelurit	7
keynes	keynes	keynes	7
läänikohtaiset	læænikohtɑiset	læænikohtɑiset	7
maalisvaaleihin	mɑɑlisvɑɑleihin	mɑɑlisvɑɑleihin	7
messulla	messullA	messullɑ	7
mukaanoton	mukɑAnoton	mukɑɑnoton	7
nimikysymys	nimikysymys	nimikysymys	7
oikeaoppisia	oikeɑoppisiA	oikeɑoppisiɑ	7
osakkaitten	osɑkkɑitten	osɑkkɑitten	7
palveluasunnon	pɑlvelUɑsunnon	pɑlveluɑsunnon	7
pettymystäni	pettymystAni	pettymystæni	7
plussasta	plussɑstA	plussɑstɑ	7
puuhiinsa	puuhiinsA	puuhiinsɑ	7
päiväuni	pæivæuni	pæivæuni	7
rakastajana	rɑkɑstɑjAnA	rɑkɑstɑjɑnɑ	7
ravintolisistä	rɑvintolisistA	rɑvintolisistæ	7
riskeeraamaan	riskeerɑɑmAAn	riskeerɑɑmɑɑn	7
roolihenkilö	roolihenkilø	roolihenkilø	7
sanoudun	sɑnoudun	sɑnoudun	7
selkiytymätön	selkiytUmAtOn	selkiytymætøn	7
sotilaspolitiikkaan	sotilɑspolitiikkɑAn	sotilɑspolitiikkɑɑn	7
talvikengät	tɑlvikengæt	tɑlvikengæt	7
tarinoillaan	tɑrinoillAAn	tɑrinoillɑɑn	7
tieosakkaiden	tieosɑkkɑiden	tieosɑkkɑiden	7
tietoväylä	tietovæylæ	tietovæylæ	7
tipautti	tipɑutti	tipɑutti	7
tuontikiintiöistä	tuontikiintiøistA	tuontikiintiøistæ	7
työllisyyskehityksestä	tyøllisUUskehitUksestA	tyøllisyyskehityksestæ	7
vaasankadun	vɑɑsɑnkɑdun	vɑɑsɑnkɑdun	7
vaatinevat	vɑɑtinevAt	vɑɑtinevɑt	7
veit	veit	veit	7
verohelpotusta	verohelpotUstA	verohelpotustɑ	7
virtausmittari	virtɑUsmittɑri	virtɑusmittɑri	7
vuokrattuun	vuokrɑttUUn	vuokrɑttuun	7
vähimmäissuojan	væhimmæissuojAn	væhimmæissuojɑn	7
aatteilla	ɑɑtteillA	ɑɑtteillɑ	6
alamaisiksi	ɑlɑmAisiksi	ɑlɑmɑisiksi	6
arkityylissä	ɑrkityylissA	ɑrkityylissæ	6
asettamastaan	ɑsettɑmAstAAn	ɑsettɑmɑstɑɑn	6
avantgardistit	ɑvɑntgɑrdistit	ɑvɑntgɑrdistit	6
ballistisia	bɑllistisiA	bɑllistisiɑ	6
barbados	bɑrbɑdos	bɑrbɑdos	6
dealer	deɑler	deɑler	6
dramaturgit	drɑmɑturgit	drɑmɑturgit	6
elämässänne	elæmAssAnne	elæmæssænne	6
emäkiinteistön	emækiinteistøn	emækiinteistøn	6
energiantuottajana	energiɑntuottɑjAnA	energiɑntuottɑjɑnɑ	6
epätäsmällisen	epætæsmællisen	epætæsmællisen	6
filosofoiva	filosofoivA	filosofoivɑ	6
hampaissaan	hɑmpɑissAAn	hɑmpɑissɑɑn	6
hankintaansa	hɑnkintAAnsA	hɑnkintɑɑnsɑ	6
hotelliinsa	hotelliinsA	hotelliinsɑ	6
housunlahkeet	housunlɑhkeet	housunlɑhkeet	6
ihmeissämme	ihmeissAmme	ihmeissæmme	6
irrottelun	irrottelUn	irrottelun	6
istuneille	istuneille	istuneille	6
kaameudessaan	kɑɑmeUdessAAn	kɑɑmeudessɑɑn	6
kappalevalikoima	kɑppɑlevɑlikoimɑ	kɑppɑlevɑlikoimɑ	6
kassakaapit	kɑssɑkɑɑpit	kɑssɑkɑɑpit	6
kehitysuskon	kehitUsuskon	kehitysuskon	6
kesäjuhlista	kesæjuhlistA	kesæjuhlistɑ	6
kiedottiin	kiedottiin	kiedottiin	6
kuollutkin	kuollUtkin	kuollutkin	6
kuvakudoksissa	kuvɑkudoksissA	kuvɑkudoksissɑ	6
kysyisivät	kysyisivAt	kysyisivæt	6
laulunsanoja	lɑulunsɑnojA	lɑulunsɑnojɑ	6
leikkauttamaan	leikkɑuttɑmAAn	leikkɑuttɑmɑɑn	6
liikuntavammojen	liikuntAvɑmmojen	liikuntɑvɑmmojen	6
loukuilla	loukuillA	loukuillɑ	6
lukemalta	lukemAltA	lukemɑltɑ	6
maanpäällisillä	mɑɑnpæællisillA	mɑɑnpæællisillæ	6
mielipidevangin	mielipidevɑngin	mielipidevɑngin	6
moralismia	morɑlismiA	morɑlismiɑ	6
myymälöitään	myymæløitAAn	myymæløitææn	6
myyntikatteella	myyntikɑtteellA	myyntikɑtteellɑ	6
myötäjäisten	myøtæjæisten	myøtæjæisten	6
niemeke	niemeke	niemeke	6
nimityksestään	nimitUksestAAn	nimityksestææn	6
nähdessä	næhdessA	næhdessæ	6
omistautuneina	omistɑutuneinA	omistɑutuneinɑ	6
painuneita	pɑinuneitA	pɑinuneitɑ	6
palloiluun	pɑlloilUUn	pɑlloiluun	6
petunia	petuniɑ	petuniɑ	6
piirtäisi	piirtæisi	piirtæisi	6
pimennysverhot	pimennUsverhot	pimennysverhot	6
poikastuotannosta	poikɑstuotɑnnostA	poikɑstuotɑnnostɑ	6
psykoottista	psykoottistA	psykoottistɑ	6
puolimaista	puolimɑistA	puolimɑistɑ	6
päänkivistystä	pæænkivistUstA	pæænkivistystæ	6
päätösprosessiin	pæætøsprosessiin	pæætøsprosessiin	6
rahamääräinen	rɑhɑmææræinen	rɑhɑmææræinen	6
ropinaa	ropinAA	ropinɑɑ	6
rypäälle	rypæælle	rypæælle	6
sekaannutaan	sekɑɑnnutAAn	sekɑɑnnutɑɑn	6
sopeutuvuudesta	sopeutUvUUdestA	sopeutuvuudestɑ	6
säestettiin	sæestettiin	sæestettiin	6
takaisinmaksuaikaa	tɑkɑisinmɑksuɑikɑA	tɑkɑisinmɑksuɑikɑɑ	6
talitintin	tɑlitintin	tɑlitintin	6
terästäytyä	teræstæytyA	teræstæytyæ	6
tielaki	tielɑki	tielɑki	6
tsekkaan	tsekkɑɑn	tsekkɑɑn	6
tuorejuuston	tuorejuuston	tuorejuuston	6
tuovana	tuovAnA	tuovɑnɑ	6
tutkimussopimusten	tutkimussopimusten	tutkimussopimusten	6
ulosmarssin	ulosmɑrssin	ulosmɑrssin	6
valmennuskurssien	vɑlmennUskurssien	vɑlmennuskurssien	6
vastustanutta	vɑstustɑnUttA	vɑstustɑnuttɑ	6
viimepäivinä	viimepæivinA	viimepæivinæ	6
viriä	viriA	viriæ	6
voimantuoton	voimɑntuoton	voimɑntuoton	6
yhtiösopimuksen	yhtiøsopimuksen	yhtiøsopimuksen	6
ärsyttämällä	ærsyttæmAllA	ærsyttæmællæ	6
ansaitsevatko	ɑnsɑitsevAtkO	ɑnsɑitsevɑtko	5
avaruustutkimuskeskus	ɑvɑrUUstutkimuskeskus	ɑvɑruustutkimuskeskus	5
eleensä	eleensA	eleensæ	5
epiteetti	epiteetti	epiteetti	5
hakuominaisuuksia	hɑkuominɑisUUksiA	hɑkuominɑisuuksiɑ	5
hankaliinkin	hɑnkɑliinkin	hɑnkɑliinkin	5
helppoudelle	helppoUdelle	helppoudelle	5
ilmapuolustusliiton	ilmɑpuolustUsliiton	ilmɑpuolustusliiton	5
improvisoimme	improvisoimme	improvisoimme	5
iskupaikka	iskupɑikkɑ	iskupɑikkɑ	5
japsien	jɑpsien	jɑpsien	5
jousituksesta	jousitUksestA	jousituksestɑ	5
jumalanpilkan	jumɑlɑnpilkɑn	jumɑlɑnpilkɑn	5
keskiaikaiseksi	keskiɑikɑiseksi	keskiɑikɑiseksi	5
kieppeille	kieppeille	kieppeille	5
kippurin	kippurin	kippurin	5
kirkkoherranvaali	kirkkoherrɑnvɑɑli	kirkkoherrɑnvɑɑli	5
kohdissaan	kohdissAAn	kohdissɑɑn	5
kokkareinen	kokkɑreinen	kokkɑreinen	5
konetyyppiä	konetyyppiA	konetyyppiæ	5
koreografiakilpailun	koreogrɑfiAkilpɑilUn	koreogrɑfiɑkilpɑilun	5
koripallofinaalit	koripɑllofinɑɑlit	koripɑllofinɑɑlit	5
kujanpäälle	kujɑnpæælle	kujɑnpæælle	5
kuluttajahintaindeksistä	kuluttAjAhintɑindeksistA	kuluttɑjɑhintɑindeksistæ	5
kuullulla	kuullUllA	kuullullɑ	5
kuusinkertaiset	kuusinkertɑiset	kuusinkertɑiset	5
kännykkämies	kænnykkæmies	kænnykkæmies	5
laihempia	lɑihempiA	lɑihempiɑ	5
lohkona	lohkonA	lohkonɑ	5
luokkataistelu	luokkɑtɑistelU	luokkɑtɑistelu	5
lähentymisehdoista	læhentymisehdoistA	læhentymisehdoistɑ	5
lähestyttävän	læhestyttAvAn	læhestyttævæn	5
maahantunkeutumista	mɑɑhAntunkeutumistA	mɑɑhɑntunkeutumistɑ	5
maataloustyöntekijät	mɑɑtɑloustyøntekijæt	mɑɑtɑloustyøntekijæt	5
manttelinperijöitä	mɑnttelinperijOitA	mɑnttelinperijøitæ	5
materiaalivalikoima	mɑteriɑɑlivɑlikoimɑ	mɑteriɑɑlivɑlikoimɑ	5
matkailijayhdistyksen	mɑtkɑilijAyhdistUksen	mɑtkɑilijɑyhdistyksen	5
metsälautakunnat	metsælɑutɑkunnɑt	metsælɑutɑkunnɑt	5
minuuttiaikataulua	minuuttiɑikɑtɑuluA	minuuttiɑikɑtɑuluɑ	5
moralismiin	morɑlismiin	morɑlismiin	5
musiikkielämys	musiikkielæmys	musiikkielæmys	5
musiikkimajuri	musiikkimɑjuri	musiikkimɑjuri	5
oireiksi	oireiksi	oireiksi	5
orasta	orɑstA	orɑstɑ	5
pankkivirkailijana	pɑnkkivirkɑilijɑnA	pɑnkkivirkɑilijɑnɑ	5
perinnetietoinen	perinnetietoinen	perinnetietoinen	5
perinteitten	perinteitten	perinteitten	5
pienoissukellusvene	pienoissukellUsvene	pienoissukellusvene	5
pienosakkaille	pienosɑkkɑille	pienosɑkkɑille	5
polyfonista	polyfonistA	polyfonistɑ	5
puhallukset	puhɑllUkset	puhɑllukset	5
puolisotilaalliseen	puolisotilɑɑlliseen	puolisotilɑɑlliseen	5
pureeko	pureekO	pureeko	5
rahastuslaite	rɑhɑstUslɑite	rɑhɑstuslɑite	5
rantakurvi	rɑntɑkurvi	rɑntɑkurvi	5
raportoiden	rɑportoiden	rɑportoiden	5
retkeilyvarusteita	retkeilUvɑrusteitA	retkeilyvɑrusteitɑ	5
riippunee	riippunee	riippunee	5
roju	roju	roju	5
romaaniensa	romɑɑniensA	romɑɑniensɑ	5
ruokapakettien	ruokɑpɑkettien	ruokɑpɑkettien	5
röntgensäteillä	røntgensæteillA	røntgensæteillæ	5
saastuttamassa	sɑɑstuttAmAssA	sɑɑstuttɑmɑssɑ	5
sinilippu	sinilippu	sinilippu	5
sotatantereelta	sotɑtɑntereeltA	sotɑtɑntereeltɑ	5
sotilasjoukon	sotilɑsjoukon	sotilɑsjoukon	5
säteilyttämällä	sæteilUttAmAllA	sæteilyttæmællæ	5
taivalluksen	tɑivɑllUksen	tɑivɑlluksen	5
talousuutisissa	tɑlousuutisissA	tɑlousuutisissɑ	5
taustajoukoissa	tɑustAjoukoissA	tɑustɑjoukoissɑ	5
tiedenaiset	tiedenɑiset	tiedenɑiset	5
tuotantosuunnissa	tuotɑntosuunnissA	tuotɑntosuunnissɑ	5
tuurata	tuurɑtA	tuurɑtɑ	5
täysipainoiset	tæysipɑinoiset	tæysipɑinoiset	5
valokuvataiteesta	vɑlokuvɑtɑiteestA	vɑlokuvɑtɑiteestɑ	5
ykkösohjelmarahaa	ykkøsohjelmɑrɑhɑA	ykkøsohjelmɑrɑhɑɑ	5
akrobaattiset	ɑkrobɑɑttiset	ɑkrobɑɑttiset	4
aluehälytyskeskukselle	ɑluehælytUskeskukselle	ɑluehælytyskeskukselle	4
amerikkalaiskuluttajan	ɑmerikkɑlɑiskuluttAjAn	ɑmerikkɑlɑiskuluttɑjɑn	4
analysoidut	ɑnɑlysoidUt	ɑnɑlysoidut	4
asukaskokouksessa	ɑsukɑskokouksessA	ɑsukɑskokouksessɑ	4
berberiä	berberiA	berberiæ	4
delegaationsa	delegɑɑtionsA	delegɑɑtionsɑ	4
edellytettyjen	edellytettUjen	edellytettyjen	4
erikoisryhmille	erikoisryhmille	erikoisryhmille	4
erikoisvarusteet	erikoisvɑrusteet	erikoisvɑrusteet	4
erotumme	erotUmme	erotumme	4
etsintäkuulutukset	etsintAkuulutUkset	etsintækuulutukset	4
filosofioista	filosofioistA	filosofioistɑ	4
finanssikeskus	finɑnssikeskus	finɑnssikeskus	4
hagströmin	hɑgstrømin	hɑgstrømin	4
hallinnonhaarat	hɑllinnonhɑɑrɑt	hɑllinnonhɑɑrɑt	4
hallintoihmisiä	hɑllintoihmisiA	hɑllintoihmisiæ	4
hengenvaarallisessa	hengenvɑɑrɑllisessA	hengenvɑɑrɑllisessɑ	4
hienostuneeksi	hienostuneeksi	hienostuneeksi	4
huojuivat	huojuivAt	huojuivɑt	4
islantilaisesta	islɑntilAisestA	islɑntilɑisestɑ	4
juniorityössä	juniorityøssA	juniorityøssæ	4
kaavoineen	kɑɑvoineen	kɑɑvoineen	4
kaksinapaisuus	kɑksinɑpɑisUUs	kɑksinɑpɑisuus	4
kamarimusiikkisarja	kɑmɑrimusiikkisɑrjɑ	kɑmɑrimusiikkisɑrjɑ	4
kansanosia	kɑnsɑnosiA	kɑnsɑnosiɑ	4
katsotuissa	kɑtsotUissA	kɑtsotuissɑ	4
kehuisi	kehuisi	kehuisi	4
kiireaikoina	kiireɑikoinA	kiireɑikoinɑ	4
kirjailee	kirjɑilee	kirjɑilee	4
kolmikkona	kolmikkonA	kolmikkonɑ	4
koulukiusatuksi	koulukiusɑtUksi	koulukiusɑtuksi	4
koulutettavina	koulutettAvinA	koulutettɑvinɑ	4
koulutovereiltaan	koulutovereiltAAn	koulutovereiltɑɑn	4
koulutusavun	koulutUsɑvun	koulutusɑvun	4
kudosnäytteistä	kudosnæytteistA	kudosnæytteistæ	4
käytönkin	kæytønkin	kæytønkin	4
lainattuihin	lɑinɑttUihin	lɑinɑttuihin	4
lajistollista	lɑjistollistA	lɑjistollistɑ	4
lakkautusuhkaa	lɑkkɑutUsuhkɑA	lɑkkɑutusuhkɑɑ	4
lattialämmityksestä	lɑttiɑlæmmitUksestA	lɑttiɑlæmmityksestæ	4
latuihin	lɑtuihin	lɑtuihin	4
lauluhetket	lɑuluhetket	lɑuluhetket	4
lihallisesta	lihɑllisestA	lihɑllisestɑ	4
liikuntajohtajaksi	liikuntAjohtɑjAksi	liikuntɑjohtɑjɑksi	4
maisemakuviin	mɑisemɑkuviin	mɑisemɑkuviin	4
maksunsaantijärjestyksestä	mɑksunsɑɑntijærjestUksestA	mɑksunsɑɑntijærjestyksestæ	4
moosekseksi	moosekseksi	moosekseksi	4
moraalimme	morɑɑlimme	morɑɑlimme	4
muodostavasta	muodostɑvAstA	muodostɑvɑstɑ	4
musiikkilajien	musiikkilɑjien	musiikkilɑjien	4
myötäjäisistä	myøtæjæisistA	myøtæjæisistæ	4
natseihin	nɑtseihin	nɑtseihin	4
natsirikolliset	nɑtsirikolliset	nɑtsirikolliset	4
neuvottelukokoukseen	neuvottelUkokoukseen	neuvottelukokoukseen	4
näytösoikeudenkäynti	næytøsoikeUdenkæynti	næytøsoikeudenkæynti	4
oivallettavaksi	oivɑllettAvAksi	oivɑllettɑvɑksi	4
osakkeenomistajiaan	osɑkkeenomistɑjiAAn	osɑkkeenomistɑjiɑɑn	4
osuuspankkikeskuksessa	osuuspɑnkkikeskuksessA	osuuspɑnkkikeskuksessɑ	4
otsatukka	otsɑtukkɑ	otsɑtukkɑ	4
paljastatte	pɑljɑstɑtte	pɑljɑstɑtte	4
palkkaakaan	pɑlkkɑAkAAn	pɑlkkɑɑkɑɑn	4
paperimiehen	pɑperimiehen	pɑperimiehen	4
paroselle	pɑroselle	pɑroselle	4
pirstoutuneiden	pirstoUtUneiden	pirstoutuneiden	4
pistetyt	pistetUt	pistetyt	4
polvipituus	polvipituus	polvipituus	4
populaariksi	populɑɑriksi	populɑɑriksi	4
puske	puske	puske	4
pälkähtänyt	pælkæhtænUt	pælkæhtænyt	4
päärautatieasema	pæærɑutɑtieɑsemɑ	pæærɑutɑtieɑsemɑ	4
rahasotkut	rɑhɑsotkut	rɑhɑsotkut	4
rakennetyöttömyys	rɑkennetyøttOmUUs	rɑkennetyøttømyys	4
ristiinnaulitsemalla	ristiinnɑulitsemAllA	ristiinnɑulitsemɑllɑ	4
roomalaiskirjeeseen	roomɑlɑiskirjeeseen	roomɑlɑiskirjeeseen	4
ryppyiseksi	ryppyiseksi	ryppyiseksi	4
sadeojat	sɑdeojɑt	sɑdeojɑt	4
sarparannan	sɑrpɑrɑnnɑn	sɑrpɑrɑnnɑn	4
satulakatto	sɑtulɑkɑtto	sɑtulɑkɑtto	4
sekarotuisen	sekɑrotuisen	sekɑrotuisen	4
selviytymistaistelu	selviytymistɑistelU	selviytymistɑistelu	4
siistimmäksi	siistimmAksi	siistimmæksi	4
suhteutetulla	suhteutetUllA	suhteutetullɑ	4
syntyajoilta	syntyɑjoiltA	syntyɑjoiltɑ	4
säestämistä	sæestæmistA	sæestæmistæ	4
sähkösaunan	sæhkøsɑunɑn	sæhkøsɑunɑn	4
taivallettiin	tɑivɑllettiin	tɑivɑllettiin	4
tarjousmenettelyä	tɑrjousmenettelUA	tɑrjousmenettelyæ	4
tautiperintö	tɑutiperintø	tɑutiperintø	4
tietokantasovelluksissa	tietokɑntɑsovellUksissA	tietokɑntɑsovelluksissɑ	4
tikkarin	tikkɑrin	tikkɑrin	4
tuoduksi	tuodUksi	tuoduksi	4
turistikohteista	turistikohteistA	turistikohteistɑ	4
urheilutiloja	urheilUtilojA	urheilutilojɑ	4
uuhien	uuhien	uuhien	4
vahingoittamien	vɑhingoittɑmien	vɑhingoittɑmien	4
vaikeakäyttöinen	vɑikeɑkæyttøinen	vɑikeɑkæyttøinen	4
vajaatehoisia	vɑjɑAtehoisiA	vɑjɑɑtehoisiɑ	4
valtamerentakaisia	vɑltɑmerentɑkɑisiA	vɑltɑmerentɑkɑisiɑ	4
velkoa	velkoA	velkoɑ	4
velkojaksi	velkojAksi	velkojɑksi	4
verovapaina	verovɑpɑinA	verovɑpɑinɑ	4
vertailuarvoon	vertɑilUɑrvoOn	vertɑiluɑrvoon	4
vialliseen	viɑlliseen	viɑlliseen	4
viherrakentajien	viherrɑkentɑjien	viherrɑkentɑjien	4
vilkaiskaapa	vilkɑiskAApA	vilkɑiskɑɑpɑ	4
vuosipäivänään	vuosipæivænAAn	vuosipæivænææn	4
väestöongelmat	væestøongelmɑt	væestøongelmɑt	4
yhteisostojen	yhteisostojen	yhteisostojen	4
ylikorostuneen	ylikorostUneen	ylikorostuneen	4
ylioppilasmatrikkeli	ylioppilɑsmɑtrikkeli	ylioppilɑsmɑtrikkeli	4
ylpeydenaiheemme	ylpeUdenɑiheemme	ylpeydenɑiheemme	4
ylähirrestä	ylæhirrestA	ylæhirrestæ	4
äänialansa	ææniɑlɑnsA	ææniɑlɑnsɑ	4
ainekseltaan	ɑinekseltAAn	ɑinekseltɑɑn	3
alushame	ɑlushɑme	ɑlushɑme	3
arvostellutta	ɑrvostellUttA	ɑrvostelluttɑ	3
asuntokortteleita	ɑsuntokortteleitA	ɑsuntokortteleitɑ	3
aukioon	ɑukioOn	ɑukioon	3
autokauppiaalle	ɑutokɑuppiɑɑlle	ɑutokɑuppiɑɑlle	3
autovaraosat	ɑutovɑrɑosɑt	ɑutovɑrɑosɑt	3
beetakaroteenilla	beetɑkɑroteenillA	beetɑkɑroteenillɑ	3
dramaturgiassa	drɑmɑturgiɑssA	drɑmɑturgiɑssɑ	3
epäsopivana	epæsopivAnA	epæsopivɑnɑ	3
erikoiskomission	erikoiskomission	erikoiskomission	3
erillisinäkin	erillisinAkin	erillisinækin	3
erkaantuivat	erkɑɑntuivAt	erkɑɑntuivɑt	3
eräkämppä	erækæmppæ	erækæmppæ	3
esittämispaikka	esittæmispɑikkɑ	esittæmispɑikkɑ	3
etuvetoisella	etuvetoisellA	etuvetoisellɑ	3
etäopettaja	etæopettɑjA	etæopettɑjɑ	3
hanskojen	hɑnskojen	hɑnskojen	3
hienostuneessa	hienostuneessA	hienostuneessɑ	3
hoikkuuden	hoikkUUden	hoikkuuden	3
hulttiot	hulttiot	hulttiot	3
huulesta	huulestA	huulestɑ	3
hyvityksinä	hyvitUksinA	hyvityksinæ	3
hätävarjelu	hætævɑrjelU	hætævɑrjelu	3
ilmarevolveri	ilmɑrevolveri	ilmɑrevolveri	3
iltajuhlasta	iltɑjuhlɑstA	iltɑjuhlɑstɑ	3
imusolmukesyöpää	imusolmukesyøpæA	imusolmukesyøpææ	3
jakoviiva	jɑkoviivɑ	jɑkoviivɑ	3
jalkapallokartalla	jɑlkɑpɑllokɑrtɑllA	jɑlkɑpɑllokɑrtɑllɑ	3
joulunalusaikana	joulunɑlusɑikɑnA	joulunɑlusɑikɑnɑ	3
junavaunu	junɑvɑunu	junɑvɑunu	3
jälkijättöiseltä	jælkijættøiseltA	jælkijættøiseltæ	3
jäseneltään	jæseneltAAn	jæseneltææn	3
kaikenkokoisissa	kɑikenkokoisissA	kɑikenkokoisissɑ	3
kalkinpoistoaineen	kɑlkinpoistoɑineen	kɑlkinpoistoɑineen	3
kansainliitossa	kɑnsɑinliitossA	kɑnsɑinliitossɑ	3
kauhuromantiikka	kɑuhuromɑntiikkɑ	kɑuhuromɑntiikkɑ	3
kerrostalokorttelin	kerrostɑlokorttelin	kerrostɑlokorttelin	3
keskushenkilöt	keskushenkiløt	keskushenkiløt	3
kimpaleen	kimpɑleen	kimpɑleen	3
kinkkusuikaleita	kinkkusuikɑleitA	kinkkusuikɑleitɑ	3
korkeakoulujärjestelmät	korkeɑkoulujærjestelmæt	korkeɑkoulujærjestelmæt	3
kotivaltiossaan	kotivɑltiossAAn	kotivɑltiossɑɑn	3
kulttuuriharrastus	kulttuurihɑrrɑstUs	kulttuurihɑrrɑstus	3
kuluneelle	kuluneelle	kuluneelle	3
kylmenevässä	kylmenevAssA	kylmenevæssæ	3
lehtikeli	lehtikeli	lehtikeli	3
leikkautunut	leikkɑutUnUt	leikkɑutunut	3
leiriydymme	leiriydymme	leiriydymme	3
lettiä	lettiA	lettiæ	3
leukemiatapaukset	leukemiɑtɑpɑUkset	leukemiɑtɑpɑukset	3
liikenneruuhkassa	liikenneruuhkɑssA	liikenneruuhkɑssɑ	3
linssille	linssille	linssille	3
luvattaisiin	luvɑttAisiin	luvɑttɑisiin	3
lyhtypylväissä	lyhtypylvæissA	lyhtypylvæissæ	3
lähitaloista	læhitɑloistA	læhitɑloistɑ	3
manipuloitiin	mɑnipuloitiin	mɑnipuloitiin	3
masokismin	mɑsokismin	mɑsokismin	3
mataluutta	mɑtɑlUUttA	mɑtɑluuttɑ	3
merenkulkuelinkeinon	merenkulkuelinkeinon	merenkulkuelinkeinon	3
metsäseudulla	metsæseudullA	metsæseudullɑ	3
millimetripaperille	millimetripɑperille	millimetripɑperille	3
minikoossa	minikoossA	minikoossɑ	3
mullistamista	mullistɑmistA	mullistɑmistɑ	3
musiikkilehdistö	musiikkilehdistø	musiikkilehdistø	3
myrkkysäiliöitä	myrkkysæiliøitA	myrkkysæiliøitæ	3
myyntiehdoista	myyntiehdoistA	myyntiehdoistɑ	3
määräaikaistileillä	mææræɑikɑistileillA	mææræɑikɑistileillæ	3
määräisinä	mææræisinA	mææræisinæ	3
nauhakaupungin	nɑuhɑkɑupungin	nɑuhɑkɑupungin	3
